Materias Interpretación y Traducción 25-3,,,,,,
,,,,,,
Carrera,Cuatri,Clave,Materia,Turno,Horas x Semana,Grupos
INT,1°,IT0101,INGLÉS I,MATUTINO,6,A
INT,1°,IT0102,GRAMÁTICA INGLESA I,MATUTINO,3,A
INT,1°,IT0103,GRAMÁTICA ESPAÑOLA Y REDACCIÓN PROFESIONAL,MATUTINO,3,A
INT,1°,IT0104,HISTORIA Y CULTURA DE MÉXICO,MATUTINO,4,A
INT,1°,IT0105,INTRODUCCIÓN A LA INTERPRETACIÓN Y TRADUCCIÓN,MATUTINO,4,A
,,,,,,
INT,2°,IT0206,INGLÉS II ,MATUTINO,6,A 
INT,2°,IT0207,GRAMÁTICA INGLESA II   ,MATUTINO,3,A 
INT,2°,IT0208,LINGÜÍSTICA APLICADA A LA TRADUCCIÓN,MATUTINO,3,A 
INT,2°,IT0209,HISTORIA DE LA CULTURA EUROPEA,MATUTINO,4,A 
INT ,2°,IT0210,METODOLOGÍA DE LA INVESTIGACIÓN,MATUTINO,2,A 
,,,,,,
INT,3°,IT0310,INGLÉS III,MATUTINO,6,A y B
INT,3°,IT0311,TERMINOLOGÍA ESPECIALIZADA EN MEDICINA ,MATUTINO,3,A y B
INT,3°,IT0312,CULTURA Y LITERATURA INGLESAS,MATUTINO,3,A y B
INT,3°,IT0313,TALLER DE TRADUCCIÓN MÉDICA,MATUTINO,6,A y B
INT,3°,IT0314,TALLER DE INTERPRETACIÓN MÉDICA,MATUTINO,5,A y B
,,,,,,
INT,5°,IT0520,INGLÉS V           ,VESPERTINO,5,A
INT,5°,IT0521,LENGUA EXTRANJERA - CHINO MANDARÍN I,MATUTINO,5,A
INT,5°,IT0522,TERMINOLOGÍA ESPECIALIZADA EN ECONOMÍA INGLÉS-ESPAÑOL,MATUTINO,3,A
INT,5°,IT0523,TALLER DE TRADUCCIÓN ECONÓMICA Y MERCADOS BURSÁTILES,MATUTINO,6,A
INT,5°,IT0524,TALLER DE INTERPRETACIÓN SIMULTÁNEA Y CONSECUTIVA ECONÓMICA Y MERCADOS BURSÁTILES,MATUTINO,5,A
,,,,,,
INT,6°,IT0625,INGLÉS VI    ,VESPERTINO,5,"A, B y C"
INT,6°,IT0626,LENGUA EXTRANJERA - CHINO MANDARÍN II,VESPERTINO,5,"A, B y C"
INT,6°,IT0627,TERMINOLOGÍA ESPECIALIZADA EN TECNOLOGÍA INGLÉS-ESPAÑOL,VESPERTINO,3,"A, B y C"
INT,6°,IT0628,TALLER DE TRADUCCIÓN INGENIERÍA Y ADELANTOS TECNOLÓGICOS,VESPERTINO,6,"A, B y C"
INT,6°,IT0629,TALLER DE INTERPRETACIÓN SIMULTÁNEA Y CONSECUTIVA INGENIERÍA Y ADELANTOS TECNOLÓGICOS,VESPERTINO,5,"A, B y C"
,,,,,,
INT,7°,IT0730,INGLÉS VII  ,VESPERTINO,5,A 
INT,7°,IT0731,LENGUA EXTRANJERA  - CHINO MANDARÍN III,VESPERTINO,5,A 
INT,7°,IT0732,TERMINOLOGÍA ESPECIALIZADA JURÍDICA INGLÉS-ESPAÑOL,VESPERTINO,3,A 
INT,7°,IT0733,TALLER DE TRADUCCIÓN LEGAL I,VESPERTINO,6,A 
INT,7°,IT0734,TALLER DE INTERPRETACIÓN SIMULTÁNEA Y CONSECUTIVA LEGAL I,VESPERTINO,5,A 
,,,,,,
INT,8°,IT0835,INGLÉS VIII,VESPERTINO,5,A
INT,8°,IT0836,LENGUA EXTRANJERA - CHINO IV,VESPERTINO,5,A
INT,8°,IT0837,TALLER DE INTERPRETACIÓN SIMULTÁNEA Y CONSECUTIVA LEGAL II,VESPERTINO,5,A
INT,8°,IT0838,TALLER DE TRADUCCIÓN LEGAL II ,VESPERTINO,6,A
INT,8°,MU02,EMPRENDEDURISMO,VESPERTINO,2,A
,,,,,,
INT,9°,IT0939,INGLÉS IX,VESPERTINO,4,"A, B y C"
INT,9°,IT0940,TALLER DE TRADUCCIÓN DE CHINO MANDARÍN-ESPAÑOL ,VESPERTINO,5,"A, B y C"
INT,9°,IT0941,TERMINOLOGÍA ESPECIALIZADA EN MERCADOTECNIA Y DISEÑO INGLÉS ESPAÑOL,VESPERTINO,3,"A, B y C"
INT,9°,IT0942,TALLER DE TRADUCCIÓN DE TEXTOS ESPECIALIZADOS I,VESPERTINO,6,"A, B y C"
INT,9°,IT0943,TALLER DE INTERPRETACIÓN SIMULTÁNEA Y CONSECUTIVA EN MERCADOTECNIA Y DISEÑO,VESPERTINO,6,"A, B y C"
,,,,,,
INT,10°,IT1044,INGLÉS X,VESPERTINO,4,A 
INT,10°,IT1045,TALLER DE INTERPRETACIÓN CONSECUTIVA Y SIMULTÁNEA CHINO MANDARÍN-ESPAÑOL ,VESPERTINO,5,A 
INT,10°,IT1046,TERMINOLOGÍA ESPECIALIZADA EN HUMANIDADES INGLÉS-ESPAÑOL,VESPERTINO,3,A 
INT,10°,IT1047,TALLER DE TRADUCCIÓN DE TEXTOS ESPECIALIZADOS II,VESPERTINO,6,A 
INT,10°,IT1048,TALLER DE INTERPRETACIÓN SIMULTÁNEA Y CONSECUTIVA DE CONFERENCIAS,VESPERTINO,5,A 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
